#{"t_start": 1640829953.8894103, "env_id": null}
r,l,t
-170.033768,1428,865.855026
-456.681013,1428,869.297326
24.890346,1428,872.779137
-625.352636,1428,876.329892
-119.583642,1428,880.711321
-305.57985,1428,884.54121
-329.755868,1428,887.991346
-711.993012,1428,891.420378
-252.140386,1428,894.881532
-353.8538,1428,898.777445
-67.6689,1428,902.231622
-169.135389,1428,905.633727
-92.39744,1428,909.093694
-310.91853,1428,912.533699
-393.980689,1428,915.953818
-269.988874,1428,919.899548
127.918223,1428,923.355746
-95.269868,1428,926.751845
33.685955,1428,930.21489
-299.574794,1428,933.656852
-616.899431,1428,937.540673
-14.780961,1428,940.976739
-336.352284,1428,944.606965
-539.827695,1428,948.794867
-322.312147,1428,952.198984
-253.31532,1428,955.659814
-148.661978,1428,959.57653
-191.457203,1428,962.976512
-319.616772,1428,966.395577
-355.985796,1428,969.846497
-252.743746,1428,973.290623
-217.730182,1428,976.728534
-190.329889,1428,980.5866
-215.580254,1428,984.10255
-454.240218,1428,987.548488
-209.241247,1428,991.00946
496.431322,1428,994.492251
-27.401821,1428,998.370201
-380.351669,1428,1001.793093
-207.872503,1428,1005.238246
-694.226498,1428,1008.719077
-210.426818,1428,1012.791221
9.071081,1428,1016.390825
-286.559544,1428,1020.263677
-240.341321,1428,1023.70482
-159.629053,1428,1027.163974
-253.823259,1428,1030.626073
-517.431993,1428,1034.063249
96.223769,1428,1037.992156
474.265095,1428,1041.432084
-153.346674,1428,1044.869663
-369.804937,1428,1048.305687
-174.511183,1428,1051.74265
158.154843,1428,1055.203849
964.624942,1428,1059.152459
-108.956422,1428,1062.573273
80.053664,1428,1066.030276
-111.051934,1428,1069.487214
-393.802022,1428,1072.896333
-256.515233,1428,1076.70232
-461.625635,1428,1081.061861
-245.716058,1428,1084.481352
-247.464565,1428,1087.969157
-251.782644,1428,1091.421204
-313.501462,1428,1094.844224
-360.518503,1428,1098.759896
-295.724274,1428,1102.166029
-214.401248,1428,1105.619029
-271.622069,1428,1109.05516
-292.077335,1428,1112.497273
-200.086326,1428,1115.956445
-35.3345,1428,1119.890142
-63.246152,1428,1123.384215
-245.850812,1428,1126.838109
-451.427015,1428,1130.277049
-373.382041,1428,1133.686115
36.731379,1428,1137.595941
-283.390049,1428,1141.197441
-475.040238,1428,1145.380314
559.785381,1428,1148.833278
-257.118426,1428,1152.279212
-385.950324,1428,1155.758147
-365.508706,1428,1159.684733
-221.600088,1428,1163.130878
-211.108405,1428,1167.016727
-211.521226,1428,1170.907671
-264.651032,1428,1174.810506
-105.219994,1428,1178.631435
-23.121929,1428,1183.037519
-202.784412,1428,1186.870473
-341.692432,1428,1190.58264
-307.933392,1428,1195.545984
-439.498126,1428,1199.909606
-443.126147,1428,1204.210334
217.349793,1428,1208.761241
-298.154884,1428,1212.810878
-0.533238,1428,1216.462244
-139.751319,1428,1220.190746
-148.088679,1428,1223.721511
-233.886572,1428,1228.09507
-116.806872,1428,1231.719719
-76.919025,1428,1235.218661
-219.534348,1428,1238.74547
-457.271138,1428,1242.186713
924.237834,1428,1246.085901
-296.038957,1428,1249.548878
-275.997192,1428,1253.032892
-192.147164,1428,1256.48371
-226.794919,1428,1259.964647
45.929786,1428,1263.39384
-321.174913,1428,1267.316836
-7.478775,1428,1270.798661
-288.674057,1428,1274.923711
399.050821,1428,1278.594204
-295.568258,1428,1282.030285
-263.5731,1428,1285.490563
-252.77335,1428,1289.396507
-317.257323,1428,1292.888378
-316.812512,1428,1296.344329
-307.742275,1428,1299.783482
-316.960017,1428,1303.167165
-271.499048,1428,1307.036011
113.689279,1428,1310.512937
-106.0634,1428,1313.989793
-74.923478,1428,1317.403907
-474.019671,1428,1320.838859
-293.411035,1428,1324.297264
-238.314224,1428,1328.212116
-417.706962,1428,1331.660387
79.104035,1428,1335.136193
-159.696709,1428,1338.970991
-150.212378,1428,1342.923426
-196.540383,1428,1346.809328
-313.722966,1428,1350.293194
686.878135,1428,1353.787165
-299.690583,1428,1357.224128
434.984738,1428,1360.683052
-413.267421,1428,1364.117224
-206.180304,1428,1368.050024
391.302385,1428,1371.512906
-483.173194,1428,1374.960884
-311.041127,1428,1378.445872
144.08512,1428,1381.893024
-110.048,1428,1385.353045
433.322074,1428,1389.263789
225.743462,1428,1392.730658
-299.840601,1428,1396.189831
-202.282405,1428,1399.62423
-370.999429,1428,1403.280703
21.865683,1428,1407.853573
204.73678,1428,1411.309554
-77.795282,1428,1414.797273
-148.892,1428,1418.198608
-654.802909,1428,1421.614576
-252.51173,1428,1425.090146
-60.475996,1428,1428.959053
-408.880304,1428,1432.39297
-599.189515,1428,1435.81804
-724.200878,1428,1439.238192
-179.602679,1428,1442.721371
-479.153131,1428,1446.62508
-373.092818,1428,1450.054245
169.644749,1428,1453.530174
-717.301246,1428,1456.927397
241.968621,1428,1460.420629
-224.355354,1428,1463.870697
-402.41957,1428,1467.808496
-253.150558,1428,1472.051154
-202.420836,1428,1475.633808
-225.918573,1428,1479.26026
-457.049417,1428,1482.715542
-114.727964,1428,1486.16663
-205.320201,1428,1490.069447
-259.949767,1428,1493.476655
-573.670924,1428,1496.917755
-275.658225,1428,1500.335806
-262.738121,1428,1503.750186
-314.133011,1428,1507.710867
206.631779,1428,1511.186754
-551.656269,1428,1514.641889
835.25936,1428,1518.162761
134.480802,1428,1521.620929
-185.686247,1428,1525.032877
411.645784,1428,1528.938022
-115.885706,1428,1532.386169
-336.868506,1428,1536.349677
-187.798208,1428,1540.044868
443.310104,1428,1543.510297
-128.305248,1428,1547.41604
-149.109554,1428,1550.915786
-279.909396,1428,1554.377901
-77.577579,1428,1557.830222
-161.347574,1428,1561.300034
-119.325759,1428,1564.712152
-137.715401,1428,1568.606904
-184.02367,1428,1572.04616
-238.532071,1428,1575.503232
-195.78915,1428,1578.926433
-224.986559,1428,1582.333506
-204.245633,1428,1585.79767
-227.666247,1428,1589.780222
-404.472736,1428,1593.21542
-147.348218,1428,1596.623616
-119.722909,1428,1600.337879
-168.126696,1428,1604.387144
-183.665935,1428,1608.268051
-229.978269,1428,1611.73492
-64.771122,1428,1615.196846
-132.167844,1428,1618.63099
-282.551838,1428,1622.069178
-170.549185,1428,1625.542975
-403.706167,1428,1629.470766
942.111854,1428,1632.974599
-282.670865,1428,1636.408657
-155.006578,1428,1639.83471
-212.790892,1428,1643.278826
-358.317081,1428,1647.199346
18.714842,1428,1650.697012
-198.321228,1428,1654.135033
356.462954,1428,1657.597047
-95.669928,1428,1661.035117
284.360694,1428,1664.543658
-207.108522,1428,1669.366763
-103.234877,1428,1672.806011
-174.258895,1428,1676.255973
72.1903,1428,1679.765591
-372.291779,1428,1683.179694
-234.526669,1428,1686.604804
283.947205,1428,1690.561438
-182.406009,1428,1693.980459
-286.648745,1428,1697.40542
210.687107,1428,1700.886312
503.521008,1428,1704.332252
-96.752922,1428,1708.234215
150.093453,1428,1711.686338
-382.523119,1428,1715.094319
-240.751215,1428,1718.486584
-208.324559,1428,1721.926624
-265.639208,1428,1725.385289
-340.488332,1428,1729.305356
122.377097,1428,1733.311742
-162.62233,1428,1736.986046
-472.16923,1428,1740.447051
-435.184025,1428,1743.886937
-184.521238,1428,1747.768763
453.340329,1428,1751.215017
-179.501142,1428,1754.64404
-177.114455,1428,1758.070133
-290.462084,1428,1761.513163
-222.179187,1428,1764.90439
-344.877319,1428,1768.798126
-223.0372,1428,1772.222079
-301.295332,1428,1775.866573
234.727239,1428,1779.414261
-212.366566,1428,1782.823321
-350.381418,1428,1786.258413
-265.610199,1428,1790.144156
-108.648902,1428,1793.549253
317.591944,1428,1797.255404
-63.960968,1428,1801.209841
-15.806301,1428,1804.664418
-490.651535,1428,1808.510296
-281.214918,1428,1811.92735
-485.177144,1428,1815.383321
-352.197559,1428,1818.771609
116.612877,1428,1822.229501
135.348754,1428,1825.683482
-316.483316,1428,1829.559357
-58.814935,1428,1833.115978
-146.802084,1428,1836.565122
66.753656,1428,1840.027287
-303.774451,1428,1843.478109
-181.36409,1428,1847.345065
-131.148429,1428,1850.750256
-512.416839,1428,1854.185204
-293.686279,1428,1857.600325
-154.077554,1428,1861.168872
-396.927221,1428,1865.414678
-452.984022,1428,1869.316537
-86.299116,1428,1872.742623
-438.667261,1428,1876.16268
-378.508261,1428,1879.575653
-308.506443,1428,1883.01274
-173.192118,1428,1886.44101
87.70023,1428,1890.293968
-511.38004,1428,1893.740892
-44.724605,1428,1897.201
-26.569121,1428,1900.585147
40.588356,1428,1904.014152
-219.712894,1428,1907.880112
-428.990064,1428,1911.329101
-117.553316,1428,1914.758209
218.974817,1428,1918.154352
-129.92617,1428,1921.524683
-393.417049,1428,1924.920924
-467.869391,1428,1929.28828
-656.447652,1428,1933.050503
850.168967,1428,1936.509358
-313.313394,1428,1939.924714
-583.559737,1428,1943.357671
-160.067122,1428,1946.76864
-323.742956,1428,1950.627794
-219.846432,1428,1954.072873
-340.477335,1428,1957.490939
388.341647,1428,1960.933969
-313.710472,1428,1964.37817
-368.590322,1428,1968.246017
-194.288398,1428,1971.654207
-124.368377,1428,1975.122153
-171.234687,1428,1978.579086
-162.336345,1428,1982.024163
-323.052656,1428,1985.449324
-217.796455,1428,1989.352996
-191.219628,1428,1993.058225
-81.750297,1428,1997.140403
36.858721,1428,2000.584362
-121.355416,1428,2004.021347
-225.862074,1428,2007.865298
-351.989562,1428,2011.285394
-158.843787,1428,2014.726655
116.572635,1428,2018.122762
-445.277019,1428,2021.55294
-264.346951,1428,2024.99765
-161.126744,1428,2028.866717
-158.725874,1428,2032.290825
-50.489639,1428,2035.727789
-102.573328,1428,2039.136901
-163.000772,1428,2042.577955
236.71797,1428,2046.030006
-113.786494,1428,2049.911917
-234.922266,1428,2053.311934
-591.862502,1428,2056.722224
-232.4944,1428,2060.78636
-139.473672,1428,2064.422864
-90.880934,1428,2068.322677
-330.787232,1428,2071.741844
-98.406547,1428,2075.162962
-139.201085,1428,2078.545254
-219.162452,1428,2081.991251
-101.449743,1428,2085.42729
-250.232721,1428,2089.272314
231.988535,1428,2092.73121
-243.268618,1428,2096.191299
-31.523203,1428,2099.60138
-109.911738,1428,2103.008369
-275.140687,1428,2106.946079
-118.969832,1428,2110.417305
354.74887,1428,2113.935066
-701.658922,1428,2117.366099
-143.000263,1428,2120.816069
45.85558,1428,2124.62708
-419.137234,1428,2129.108101
500.276505,1428,2132.592297
-57.897264,1428,2135.972592
-562.449143,1428,2139.394614
-200.01351,1428,2142.798105
-379.34684,1428,2146.224237
-369.545406,1428,2150.096249
480.400881,1428,2153.495485
-190.491597,1428,2156.871613
1299.0359,1428,2160.331712
-213.213174,1428,2163.764027
-82.486745,1428,2167.6409
-203.639641,1428,2171.034972
-219.714609,1428,2174.513869
-179.847258,1428,2177.934891
-199.281235,1428,2181.37299
-137.353551,1428,2184.779088
-179.139028,1428,2188.689013
-84.25778,1428,2192.843907
-500.149821,1428,2196.392618
-37.266401,1428,2199.889475
-131.261108,1428,2203.303881
830.199814,1428,2207.254421
334.477587,1428,2210.70469
-155.786729,1428,2214.1377
-128.507957,1428,2217.517022
-183.643646,1428,2220.927245
-377.194413,1428,2224.354186
-232.806287,1428,2228.212073
440.064641,1428,2231.69094
-105.34854,1428,2235.090072
-185.138793,1428,2238.528044
-17.398369,1428,2241.924245
-354.009822,1428,2245.329057
-430.692152,1428,2249.224859
-130.184485,1428,2252.642134
-300.861144,1428,2256.545708
-252.280474,1428,2260.396596
-81.544677,1428,2263.832487
-102.956433,1428,2267.699476
-218.173871,1428,2271.142729
-237.948806,1428,2274.55305
101.558382,1428,2278.02304
-142.264453,1428,2281.48488
-79.49108,1428,2284.912686
-36.152166,1428,2288.730587
-81.231361,1428,2292.137853
-226.05007,1428,2295.517004
-59.594794,1428,2298.921146
-94.563269,1428,2302.332265
111.011981,1428,2306.249015
-53.480178,1428,2309.746867
-266.494096,1428,2313.142096
-196.864426,1428,2316.560048
65.121469,1428,2320.128779
1198.835763,1428,2324.305771
-331.983681,1428,2328.233757
381.098352,1428,2331.632856
1631.610409,1428,2335.107715
331.36298,1428,2338.545955
-77.376163,1428,2342.01085
-233.585561,1428,2345.435925
-400.455705,1428,2349.336781
-180.691628,1428,2353.206699
-291.284976,1428,2357.102516
0.805955,1428,2360.894569
-250.059131,1428,2364.451242
-194.98053,1428,2368.793834
-336.079218,1428,2372.456179
-204.664651,1428,2376.372914
-231.202903,1428,2380.102121
-85.252404,1428,2383.74122
627.056844,1428,2387.985925
-554.035045,1428,2392.705399
-73.452344,1428,2396.389856
-555.238981,1428,2400.031315
-355.570189,1428,2403.490975
-94.97424,1428,2407.048795
-364.191381,1428,2411.551183
-309.391902,1428,2415.808664
490.365072,1428,2419.430113
-45.814137,1428,2422.966725
-425.976506,1428,2426.52652
256.375538,1428,2429.990359
1374.147084,1428,2433.932071
-460.353725,1428,2437.413061
233.858537,1428,2440.93197
-160.292121,1428,2444.422286
818.184921,1428,2448.072572
-327.851835,1428,2452.145717
-393.595033,1428,2456.943028
-421.404428,1428,2460.472703
-335.550118,1428,2463.923524
-256.131329,1428,2467.400309
-76.180552,1428,2470.943117
435.626255,1428,2474.834969
-291.557792,1428,2478.326017
-115.733065,1428,2481.828922
-56.469125,1428,2485.325746
-219.480703,1428,2488.772807
-201.027501,1428,2492.271739
-379.300472,1428,2496.336084
-459.657971,1428,2499.879842
-128.74687,1428,2503.389719
-167.791194,1428,2506.851914
-179.501888,1428,2510.293105
-295.054166,1428,2514.224952
461.50532,1428,2518.135696
-205.016721,1428,2522.255815
-556.72248,1428,2525.820385
-552.270397,1428,2529.268276
580.450752,1428,2532.727282
-201.295438,1428,2536.632995
-283.740734,1428,2540.094107
-72.703404,1428,2543.504133
-151.773843,1428,2546.947212
-453.464064,1428,2550.375303
-68.358667,1428,2553.763312
742.69468,1428,2557.750764
326.767857,1428,2561.454101
212.74508,1428,2565.95053
-552.172223,1428,2569.561093
-202.542067,1428,2573.154786
315.681105,1428,2577.259944
-310.704024,1428,2581.244294
-360.680364,1428,2586.004655
-95.00235,1428,2591.001339
-237.709614,1428,2595.290038
-193.167422,1428,2599.08114
