#{"t_start": 1640829953.8894103, "env_id": null}
r,l,t
-1036.021677,1428,7.097901
-473.277662,1428,10.757302
-480.657067,1428,15.435833
-664.270223,1428,24.918993
-1172.552546,1428,29.770102
-1208.014025,1428,34.867745
-535.865396,1428,39.042937
-708.952899,1428,43.413446
-873.075733,1428,51.728219
-735.32573,1428,55.999947
-546.806598,1428,59.650259
-579.9321,1428,64.099719
-527.51872,1428,68.21801
-855.388616,1428,71.880407
-143.469965,1428,75.637802
-653.327977,1428,79.514636
-310.648711,1428,83.589996
-171.634769,1428,87.087737
-456.969346,1428,90.56067
-542.928635,1428,94.45924
-265.13512,1428,98.426682
-791.697444,1428,103.213228
-1063.324925,1428,108.255833
-559.376234,1428,112.146532
-748.903047,1428,115.960429
-456.340002,1428,120.129242
-662.26848,1428,124.270607
-689.428037,1428,128.013689
-617.869704,1428,132.050824
-579.814846,1428,135.768977
-759.495417,1428,139.452366
-212.890966,1428,143.436933
-12.262013,1428,147.463114
-945.471291,1428,152.006693
-269.936508,1428,156.90217
-160.032395,1428,163.056811
-521.165708,1428,166.852919
-330.648001,1428,170.602996
-562.099935,1428,174.246453
-574.272679,1428,178.385654
-221.945386,1428,182.00721
-198.953106,1428,185.565849
-415.675389,1428,189.154438
-470.044218,1428,192.70821
166.568015,1428,196.772523
-206.548521,1428,200.323125
-717.651953,1428,203.825863
-177.808558,1428,207.431604
-281.712634,1428,210.991248
-479.883042,1428,214.536941
-70.821384,1428,218.866725
-1051.894923,1428,222.753591
-264.961754,1428,227.297491
-254.776223,1428,231.101455
-799.645109,1428,234.742075
-774.672694,1428,238.358627
-359.152052,1428,242.498883
-300.417431,1428,246.084392
-439.203596,1428,249.685922
-303.809336,1428,253.313347
-67.125087,1428,256.963858
-97.05761,1428,261.210617
-574.662914,1428,265.07255
-149.686101,1428,269.038113
-200.481893,1428,272.897993
-464.076499,1428,277.442431
-213.306294,1428,284.283978
-659.928924,1428,288.688122
35.893429,1428,294.016991
-720.94152,1428,298.053044
-442.743278,1428,302.707786
-464.181397,1428,306.416767
-117.039643,1428,312.022902
-417.609033,1428,316.000865
-455.167999,1428,319.952463
-602.316824,1428,323.596221
-385.6934,1428,327.259717
-497.54197,1428,330.68683
-421.33609,1428,334.560676
-78.444687,1428,338.214086
-229.430431,1428,341.779756
46.245205,1428,345.60614
-458.431085,1428,349.387455
-108.903826,1428,352.899168
-476.73002,1428,357.950772
-255.465053,1428,361.684877
-63.167388,1428,366.779257
49.436745,1428,371.411973
-312.104891,1428,376.187243
-289.190741,1428,380.561677
-456.520608,1428,384.567275
-151.387186,1428,388.162891
-57.123803,1428,391.862084
-549.461475,1428,396.185762
-696.081628,1428,400.227844
-214.957051,1428,404.741483
-400.37617,1428,408.662098
-290.240907,1428,412.456024
-640.866609,1428,415.937948
-428.354077,1428,419.452999
-380.348731,1428,424.706952
-40.190138,1428,428.164905
-334.745995,1428,432.052844
-266.171168,1428,435.872829
-153.800847,1428,439.522258
-486.037714,1428,443.332218
-320.015333,1428,447.775482
-369.094512,1428,452.201785
-233.352409,1428,455.998977
-60.062915,1428,459.998395
-150.97377,1428,463.907826
-141.880746,1428,467.742771
-247.215802,1428,471.896998
-271.434001,1428,475.661211
-425.068598,1428,479.74442
-154.750286,1428,483.535578
-442.700882,1428,488.491127
-535.922826,1428,493.182882
-144.036102,1428,497.15699
381.981561,1428,500.757857
-248.791951,1428,506.210927
-197.262087,1428,510.849621
-231.726692,1428,514.332624
-362.645344,1428,518.485803
-52.747364,1428,522.044434
-205.060093,1428,525.45256
-252.293242,1428,528.928424
-70.596895,1428,532.380363
-255.84946,1428,536.277965
-184.547,1428,539.746911
-391.671692,1428,543.169961
-191.077692,1428,546.618925
-218.998853,1428,550.069102
-82.638353,1428,554.161116
254.204241,1428,558.280332
-165.874456,1428,561.697492
-334.899538,1428,565.122675
-193.756903,1428,568.56782
-137.380524,1428,571.991673
-441.495721,1428,575.475637
-344.439736,1428,579.443153
-340.400222,1428,582.89583
-625.074872,1428,586.322094
-328.179372,1428,589.789192
-290.20768,1428,593.22049
-581.528766,1428,597.135314
-263.818241,1428,600.571268
-179.581799,1428,604.025373
-426.357984,1428,607.437568
-92.85711,1428,610.897568
-312.560468,1428,614.367386
-278.089524,1428,618.713802
-133.943258,1428,622.558609
-406.042098,1428,626.014962
-116.806273,1428,629.481128
240.988462,1428,632.960067
-570.551489,1428,636.846042
-297.905077,1428,640.272234
-540.516734,1428,643.721825
-177.565604,1428,647.233634
-433.020118,1428,650.733586
-399.362382,1428,654.169712
-274.777256,1428,658.115576
-436.225226,1428,661.540505
-335.490724,1428,664.994661
-120.283809,1428,668.449674
-194.160465,1428,671.855805
-374.697585,1428,675.32786
-138.526553,1428,679.238868
-377.765745,1428,682.943144
-560.656764,1428,686.980447
-874.737128,1428,690.413484
-416.989122,1428,693.884428
-188.221839,1428,697.835955
-257.365668,1428,701.250147
-156.500817,1428,704.727376
-283.206172,1428,708.171371
-412.721681,1428,711.609383
-426.970292,1428,715.039358
-139.25631,1428,718.977298
-173.045336,1428,722.397387
-244.282249,1428,725.836968
-268.027573,1428,729.242092
-624.373723,1428,732.640242
-168.732333,1428,736.576868
130.124205,1428,740.040016
-442.763332,1428,743.465015
414.990935,1428,747.574319
-100.462713,1428,751.825988
-184.727355,1428,755.307816
376.379968,1428,759.20892
-693.229662,1428,762.645379
-356.054195,1428,766.129264
-87.312363,1428,769.568156
-457.388208,1428,773.047113
-306.851913,1428,776.517228
-320.904127,1428,780.385979
-333.95923,1428,783.7871
-414.86138,1428,787.246339
-424.199011,1428,790.699386
-259.182224,1428,794.153609
-264.425051,1428,798.055563
-340.398057,1428,801.511675
-156.864383,1428,804.971791
-225.19584,1428,808.424099
-296.310524,1428,811.826187
-101.354319,1428,815.89934
-481.185084,1428,820.091242
-354.420772,1428,823.560319
-212.519118,1428,827.024235
-482.6166,1428,830.466374
-341.979653,1428,833.91565
-372.973953,1428,837.821597
-589.793072,1428,841.276544
-612.129845,1428,844.719863
-392.485022,1428,848.179957
-233.110975,1428,851.617918
-111.814588,1428,855.07295
-157.071074,1428,858.949858
-260.175437,1428,862.396919
